"registered_asset_id","filename","source_path","represented_subject","homepage_placement","semantic_match","approval_status","rights_status","crop_review_status","alt_text_purpose","mobile_consideration","decision","required_new_asset_id","notes"
"NONE - ASSET_REGISTER filename match","home_hero_new_earth_main.webp","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","Overall New Earth proposition","Hero","EXACT","ASSET_REGISTER DONE","Rights not independently verified","Retain with crop review","Decorative atmosphere; proposition remains HTML","Object-position and overlay require mobile review","RETAIN WITH CROP REVIEW","","Existing tracked asset; 1920x1080"
"NONE - ASSET_REGISTER filename match","blueprint_hero.webp","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","Blueprint and structured exploration","Exploration pathway","ACCEPTABLE SUPPORTING","ASSET_REGISTER DONE","Rights not independently verified","Retain with crop review","Atmospheric Blueprint context","Wide crop; preserve central horizon","RETAIN WITH CROP REVIEW","","Used only for Blueprint-led pathway context; 1920x1080"
"NONE - ASSET_REGISTER filename match","microgrow_hero.webp","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","MicroGrow AI Lab page hero","MicroGrow page hero, not homepage project card","EXACT","ASSET_REGISTER APPROVED","Rights not independently verified","Retain with crop review","Conceptual MicroGrow page-hero context","16:9 crop; preserve growing detail","RETAIN AS PAGE HERO ONLY","","Homepage requires NE-HOME-IMG-007; no operational-readiness claim; 1920x1080"
"NONE - ASSET_REGISTER filename match","community_hero.webp","ASSETS/11_COMMUNITY/hero/community_hero.webp","Community and participation","Get Involved","EXACT","ASSET_REGISTER DONE","Rights not independently verified","Retain with crop review","Community setting representing participation context","16:9 crop; preserve people and place","RETAIN WITH CROP REVIEW","","No claim about a specific programme; 1920x1080"
"NONE - ASSET_REGISTER filename match","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","Manifesto or reflective doctrine","What is New Earth? introduction","MISMATCHED","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","Would imply Manifesto content in a general introduction","Do not crop for this placement","REPLACE","NE-HOME-IMG-006","Manifesto boundary permits Vision or Manifesto content only"
"NONE - ASSET_REGISTER filename match","systems_hero.webp","ASSETS/05_SYSTEMS/hero/systems_hero.webp","Systems and ecosystem context","Featured Projects / Field Scanner","MISMATCHED","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","Does not depict Field Scanner specifically","Do not crop for this placement","REPLACE","NE-HOME-IMG-001","Systems boundary does not make it a Field Scanner asset"
"NONE - ASSET_REGISTER filename match","community_hero.webp","ASSETS/11_COMMUNITY/hero/community_hero.webp","Community and participation","Featured Projects / New Earth Living","MISMATCHED","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","Community image does not establish a specific project","Do not crop for this placement","REPLACE","NE-HOME-IMG-002","Retained separately for the exact Get Involved placement"
"NONE - ASSET_REGISTER filename match","global_page_hero_template.webp","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","Neutral global treatment","Journal","GENERIC","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","No article-specific meaning","Do not crop for this placement","REPLACE","NE-HOME-IMG-003","Generic global treatment must not imply an article"
"NONE - ASSET_REGISTER filename match","about_hero.webp","ASSETS/07_ABOUT/hero/about_hero.webp","Founders, team, or human story","Resources","MISMATCHED","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","About image does not represent a resource cover","Do not crop for this placement","REPLACE","NE-HOME-IMG-004","About boundary permits human-story content only"
"NONE - ASSET_REGISTER filename match","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","Manifesto or reflective doctrine","FAQ and Glossary / search","MISMATCHED","ASSET_REGISTER DONE","Rights not independently verified","Not applicable after removal","Manifesto image does not represent a glossary","Do not crop for this placement","REPLACE","NE-HOME-IMG-005","Use a language/discovery-specific asset or placeholder"
"NONE - CSS/HTML visual system","","","Relationships between pillars, systems, projects, and participation","Ecosystem map","MISSING","Not an image asset","Not applicable","CSS/text review required","No image; semantic list carries meaning","Responsive nodes and lines; text equivalent remains primary","CSS/ICON TREATMENT","","No unapproved diagram substituted"
"NONE - CSS/HTML visual system","","","Twelve pillar categories","Twelve Pillars","MISSING","Not an image asset","Not applicable","CSS/text review required","Number, name, description, and link carry meaning","Colour families must remain secondary to text","CSS/ICON TREATMENT","","Recommended mixed colour-and-symbol system"
"NE-HOME-IMG-001","field_scanner_project.webp","ASSETS/05_SYSTEMS/projects/field_scanner_project.webp","Field Scanner handheld device for discovering and inspecting MicroGrow nodes","Featured Projects / Field Scanner","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual handheld device for discovering and inspecting MicroGrow nodes","16:9; preserve device and node focal point","RETAIN WITH CROP REVIEW","NE-HOME-IMG-001","Not field or landscape scanning; no operational claim"
"NE-HOME-IMG-002","new_earth_living_app.webp","ASSETS/10_RESOURCES/hero/new_earth_living_app.webp","New Earth Living app connected to the Conscious Living ecosystem lane","Featured Projects / New Earth Living","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual New Earth Living app visual connected to the Conscious Living ecosystem lane","16:9; preserve app-oriented focal point","RETAIN WITH CROP REVIEW","NE-HOME-IMG-002","Not a physical development, settlement, community, or readiness claim"
"NE-HOME-IMG-003","journal_featured_home.webp","ASSETS/09_BLOG/featured/journal_featured_home.webp","Journal editorial and field-notes context","Journal","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual Journal editorial visual","16:9; protect editorial focal point","RETAIN WITH CROP REVIEW","NE-HOME-IMG-003","Does not claim a specific published article"
"NE-HOME-IMG-004","resources_featured_home.webp","ASSETS/10_RESOURCES/featured/resources_featured_home.webp","Resources and practical learning context","Resources","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual resources and practical learning visual","16:9; preserve subject detail","RETAIN WITH CROP REVIEW","NE-HOME-IMG-004","Does not claim a specific published resource"
"NE-HOME-IMG-005","faq_glossary_featured.webp","ASSETS/10_RESOURCES/featured/faq_glossary_featured.webp","Language, definitions, and public discovery","FAQ and Glossary","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Language and discovery visual for the FAQ and Glossary","16:9; preserve central visual anchor","RETAIN WITH CROP REVIEW","NE-HOME-IMG-005","Text remains primary; no technical or operational claim"
"NE-HOME-IMG-006","home_introduction_new_earth.webp","ASSETS/02_HOME/sections/home_introduction_new_earth.webp","Grounded New Earth introduction context","What is New Earth?","EXACT","Handoff source hash verified; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual New Earth introduction visual","16:10; keep focal subject away from text column","RETAIN WITH CROP REVIEW","NE-HOME-IMG-006","No unsupported civilization or outcome claim"
"NE-HOME-IMG-007","microgrow_ai_lab_project_card.webp","ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp","Dedicated MicroGrow AI Lab homepage project-card context","Featured Projects / MicroGrow","EXACT","Handoff source inspected; conceptual adopted","Rights not independently verified","Retain with crop review","Conceptual MicroGrow AI Lab research environment with plants, sensors, local hardware and analytical monitoring","16:9; preserve growing node and analytical display","RETAIN WITH CROP REVIEW","NE-HOME-IMG-007","Only remaining homepage production-image blocker resolved; not documentary or readiness evidence"
