"asset_id","filename","proposed_path","represented_subject","homepage_placement","asset_type","current_status","semantic_status","technical_status","rights_status","source_evidence_status","peter_approval_status","v2_priority","production_action","candidate_source_sha256","production_sha256","pixel_dimensions","output_bytes","notes"
"ASSET-EXISTING-HOME-HERO","home_hero_new_earth_main.webp","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","Overall New Earth proposition","Hero","DOCUMENTARY","DONE","EXACT","1920x1080; responsive crop","Review required","ASSET_REGISTER filename match","Approved direction use; placement audited","REQUIRED","Retain with crop review","","","","","No text inside image"
"ASSET-EXISTING-BLUEPRINT-HERO","blueprint_hero.webp","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","Blueprint exploration","Exploration pathway","DOCUMENTARY","DONE","ACCEPTABLE SUPPORTING","1920x1080; responsive crop","Review required","ASSET_REGISTER filename match","Approved direction use; placement audited","RECOMMENDED","Retain with crop review","","","","","Blueprint-led context only"
"ASSET-EXISTING-MICROGROW-HERO","microgrow_hero.webp","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","MicroGrow AI Lab page hero","MicroGrow page hero; not homepage project card","CONCEPTUAL","APPROVED","EXACT","1920x1080; responsive crop","Review required","ASSET_REGISTER filename match","Approved handoff candidate","REQUIRED","Adopt as page hero only","AB62FDA6926354A2E6839B2AECE422715318BD0BA4119FB8DC7C20F8B1E5FBBC","72EECD869C4B0B2F906D01940D875BD236FF350A7E4297A64F7B4E32A460E9FB","1920x1080","339832","Conceptual visual; not homepage project-card evidence or readiness proof"
"ASSET-EXISTING-COMMUNITY-HERO","community_hero.webp","ASSETS/11_COMMUNITY/hero/community_hero.webp","Community and participation","Get Involved","DOCUMENTARY","DONE","EXACT","1920x1080; 16:9 card crop","Review required","ASSET_REGISTER filename match","Approved asset; placement audited","REQUIRED","Retain with crop review","","","","","Not used as project evidence"
"ASSET-REJECTED-MANIFESTO-INTRO","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","Manifesto or reflective doctrine","What is New Earth?","DOCUMENTARY","DONE","MISMATCHED","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for this placement","REQUIRED","Do not use; replace with NE-HOME-IMG-006","","","","","May remain available for Manifesto page"
"ASSET-REJECTED-SYSTEMS-FIELD-SCANNER","systems_hero.webp","ASSETS/05_SYSTEMS/hero/systems_hero.webp","Systems and ecosystem context","Field Scanner","DOCUMENTARY","DONE","MISMATCHED","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for this placement","REQUIRED","Do not use; replace with NE-HOME-IMG-001","","","","","May remain available for Systems page"
"ASSET-REJECTED-COMMUNITY-NEW-EARTH-LIVING","community_hero.webp","ASSETS/11_COMMUNITY/hero/community_hero.webp","Community and participation","New Earth Living","DOCUMENTARY","DONE","MISMATCHED","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for this placement","REQUIRED","Do not use; replace with NE-HOME-IMG-002","","","","","Retained for Get Involved only"
"ASSET-REJECTED-GLOBAL-JOURNAL","global_page_hero_template.webp","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","Neutral global treatment","Journal","DOCUMENTARY","DONE","GENERIC","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for article-specific placement","RECOMMENDED","Do not use; replace with NE-HOME-IMG-003","","","","","Global treatment remains available for genuinely neutral contexts"
"ASSET-REJECTED-ABOUT-RESOURCES","about_hero.webp","ASSETS/07_ABOUT/hero/about_hero.webp","Founders, team, or human story","Resources","DOCUMENTARY","DONE","MISMATCHED","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for this placement","RECOMMENDED","Do not use; replace with NE-HOME-IMG-004","","","","","May remain available for About page"
"ASSET-REJECTED-MANIFESTO-GLOSSARY","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","Manifesto or reflective doctrine","FAQ and Glossary","DOCUMENTARY","DONE","MISMATCHED","1920x1080","Review required","ASSET_REGISTER filename match","Not approved for this placement","RECOMMENDED","Do not use; replace with NE-HOME-IMG-005","","","","","May remain available for Manifesto page"
